Model,Units,Dropout,LR,Batch,Val_RMSE
LSTM,"(64, 32)",0.25,0.001,32,102.87137604379603
BiLSTM,"(64, 32)",0.3,0.001,32,108.61365528813576
BiLSTM,"(64, 32)",0.25,0.001,32,109.11636920602619
BiLSTM,"(64, 32)",0.25,0.0005,32,109.28521733350013
GRU,"(64, 32)",0.25,0.001,32,110.66643373038028
BiLSTM,"(32, 16)",0.3,0.001,32,110.78711639817062
GRU,"(64, 32)",0.3,0.0005,32,112.95557064146541
GRU,"(32, 16)",0.25,0.001,32,113.22635982334772
GRU,"(64, 32)",0.25,0.001,64,113.32371989170244
BiLSTM,"(32, 16)",0.3,0.001,64,115.15651326300572
BiLSTM,"(64, 32)",0.3,0.001,64,115.1997622419261
GRU,"(64, 32)",0.3,0.001,32,115.37774375207971
GRU,"(64, 32)",0.3,0.001,64,115.8149608463988
BiLSTM,"(64, 32)",0.25,0.001,64,116.29139636824272
BiLSTM,"(32, 16)",0.25,0.001,32,116.5019947202472
